    Data: Real and imaginary indices of refraction of ice at -7 C 
    for the 4.43e-2 to 167 micron range, and indices of ice at 
    -1, -5, -20, and -60 C for the 167 to 8.6e6 micron range.

    Reference:S. G. Warren, Optical constants of ice from the ultraviolet 
    to the microwave, Applied Optics, vol. 23, pgs. 1206-1225, 1984.
    The values here were generated from a program of S. Warren.

    Format: wavenumber (cm-1), wavelength (microns), real and
    imaginary indices of refraction.
    468 values for ice at  -7 C, 4.43e-2 to 167 microns
    62  values for ice at  -1 C, 167 to 8.6e6 microns
    62  values for ice at  -5 C, 167 to 8.6e6 microns
    62  values for ice at -20 C, 167 to 8.6e6 microns
    62  values for ice at -60 C, 167 to 8.6e6 microns
    2x,2(1x,e10.3),2x,1(1x,f6.4),1(1x,e10.3)


    ICE
    Temperature = 266.16 K (-7 C)
    cm-1       microns     real    imaginary
    3.670E+03  2.725E+00   1.1473  7.920E-03
    3.738E+03  2.675E+00   1.1741  3.420E-03
    3.817E+03  2.620E+00   1.1957  1.350E-03
    3.846E+03  2.600E+00   1.2021  1.010E-03
    3.861E+03  2.590E+00   1.2051  9.300E-04
    3.876E+03  2.580E+00   1.2079  8.900E-04
    3.899E+03  2.565E+00   1.2118  8.700E-04
    3.922E+03  2.550E+00   1.2155  8.920E-04
    3.968E+03  2.520E+00   1.2220  9.200E-04
    4.000E+03  2.500E+00   1.2258  9.250E-04
    4.065E+03  2.460E+00   1.2327  8.480E-04
    4.115E+03  2.430E+00   1.2372  7.820E-04
    4.149E+03  2.410E+00   1.2400  7.300E-04
    4.184E+03  2.390E+00   1.2427  6.800E-04
    4.219E+03  2.370E+00   1.2451  6.180E-04
    4.255E+03  2.350E+00   1.2474  5.480E-04
    4.292E+03  2.330E+00   1.2497  4.620E-04
    4.329E+03  2.310E+00   1.2518  3.810E-04
    4.367E+03  2.290E+00   1.2538  2.890E-04
    4.405E+03  2.270E+00   1.2558  2.320E-04
    4.425E+03  2.260E+00   1.2567  2.140E-04
    4.444E+03  2.250E+00   1.2577  2.030E-04
    4.454E+03  2.245E+00   1.2581  2.010E-04
    4.464E+03  2.240E+00   1.2586  2.030E-04
    4.505E+03  2.220E+00   1.2604  2.210E-04
    4.566E+03  2.190E+00   1.2628  2.870E-04
    4.608E+03  2.170E+00   1.2644  3.500E-04
    4.651E+03  2.150E+00   1.2659  4.320E-04
    4.695E+03  2.130E+00   1.2674  5.650E-04
    4.751E+03  2.105E+00   1.2690  8.414E-04
    4.801E+03  2.083E+00   1.2703  1.068E-03
    4.850E+03  2.062E+00   1.2714  1.244E-03
    4.900E+03  2.041E+00   1.2724  1.412E-03
    4.950E+03  2.020E+00   1.2733  1.540E-03
    5.000E+03  2.000E+00   1.2740  1.588E-03
    5.051E+03  1.980E+00   1.2747  1.539E-03
    5.099E+03  1.961E+00   1.2753  1.313E-03
    5.149E+03  1.942E+00   1.2761  1.010E-03
    5.200E+03  1.923E+00   1.2769  7.615E-04
    5.249E+03  1.905E+00   1.2777  4.687E-04
    5.291E+03  1.890E+00   1.2785  2.950E-04
    5.348E+03  1.870E+00   1.2795  1.500E-04
    5.376E+03  1.860E+00   1.2800  9.900E-05
    5.391E+03  1.855E+00   1.2802  8.500E-05
    5.405E+03  1.850E+00   1.2805  8.030E-05
    5.435E+03  1.840E+00   1.2809  8.220E-05
    5.464E+03  1.830E+00   1.2814  8.600E-05
    5.556E+03  1.800E+00   1.2826  1.030E-04
    5.682E+03  1.760E+00   1.2841  1.280E-04
    5.780E+03  1.730E+00   1.2852  1.450E-04
    5.882E+03  1.700E+00   1.2862  1.660E-04
    5.952E+03  1.680E+00   1.2869  1.890E-04
    6.061E+03  1.650E+00   1.2878  2.410E-04
    6.200E+03  1.613E+00   1.2889  3.372E-04
    6.301E+03  1.587E+00   1.2896  3.701E-04
    6.378E+03  1.568E+00   1.2901  4.239E-04
    6.502E+03  1.538E+00   1.2908  5.266E-04
    6.549E+03  1.527E+00   1.2911  5.480E-04
    6.601E+03  1.515E+00   1.2913  5.635E-04
    6.649E+03  1.504E+00   1.2915  5.899E-04
    6.698E+03  1.493E+00   1.2917  5.855E-04
    6.752E+03  1.481E+00   1.2919  5.181E-04
    6.798E+03  1.471E+00   1.2921  4.299E-04
    6.849E+03  1.460E+00   1.2923  3.511E-04
    6.901E+03  1.449E+00   1.2925  2.708E-04
    6.944E+03  1.440E+00   1.2927  2.030E-04
    6.993E+03  1.430E+00   1.2930  1.040E-04
    7.042E+03  1.420E+00   1.2933  5.400E-05
    7.092E+03  1.410E+00   1.2936  2.500E-05
    7.143E+03  1.400E+00   1.2938  1.980E-05
    7.194E+03  1.390E+00   1.2941  1.740E-05
    7.246E+03  1.380E+00   1.2943  1.580E-05
    7.299E+03  1.370E+00   1.2945  1.480E-05
    7.353E+03  1.360E+00   1.2948  1.420E-05
    7.407E+03  1.350E+00   1.2950  1.390E-05
    7.463E+03  1.340E+00   1.2952  1.340E-05
    7.519E+03  1.330E+00   1.2954  1.320E-05
    7.576E+03  1.320E+00   1.2956  1.320E-05
    7.634E+03  1.310E+00   1.2958  1.310E-05
    7.692E+03  1.300E+00   1.2960  1.320E-05
    7.752E+03  1.290E+00   1.2963  1.320E-05
    7.812E+03  1.280E+00   1.2965  1.330E-05
    7.874E+03  1.270E+00   1.2967  1.350E-05
    7.937E+03  1.260E+00   1.2969  1.320E-05
    8.000E+03  1.250E+00   1.2970  1.290E-05
    8.065E+03  1.240E+00   1.2972  1.220E-05
    8.130E+03  1.230E+00   1.2974  1.130E-05
    8.197E+03  1.220E+00   1.2976  1.020E-05
    8.264E+03  1.210E+00   1.2978  8.660E-06
