
  Data: Real and imaginary indices of refraction of H2O-ice, amorphous
  nitric acid solutions, and nitric acid hydrates.
  
  Reference: O. B. Toon, M. A. Tolbert, B. G. Koehler, A. M. Middlebrook,
  and J. Jordan, The infrared optical constants of H2O-ice, amorphous 
  acid solutions, and nitric acid hydrates, J. Geophys. Res., accepted
  for publication, 1994.

  Format: wavenumber(cm-1), real index,imaginary index
   110 lines, BETA NAT film  at 196 K
   133 lines, NAD film at 184 K
   112 lines, ALPHA NAT film at 181 k
   135 lines, NAM film at 179 K
   173 lines, water ice film at 163 K
   120 lines, A NAT film at 153 K
   113 lines, A NAD film at 153 K
   124 lines, A NAM film at 153 K
  2x,f6.1,2x,f5.3,2x,e8.2


  BETA NAT film at 196 K 
   110    2x,f6.1,2x,f5.3,2x,e8.2
   cm-1   n      k
   795.0  1.709  9.09E-02
   798.0  1.734  6.99E-02
   802.0  1.767  5.68E-02
   806.0  1.811  6.26E-02
   810.0  1.834  1.22E-01
   814.0  1.788  1.97E-01
   818.0  1.722  1.58E-01
   822.0  1.712  8.06E-02
   825.0  1.738  4.72E-02
   829.0  1.763  3.59E-02
   841.0  1.810  2.74E-02
   864.0  1.865  2.28E-02
   887.0  1.909  2.40E-02
   910.0  1.949  3.45E-02
   933.0  1.975  5.02E-02
   953.0  1.997  5.25E-02
   964.0  2.014  5.76E-02
  1007.0  2.072  7.15E-02
  1018.0  2.097  7.08E-02
  1030.0  2.128  7.69E-02
  1057.0  2.216  1.10E-01
  1072.0  2.285  1.64E-01
  1095.0  2.332  3.16E-01
  1130.0  2.202  5.28E-01
  1153.0  2.086  4.32E-01
  1173.0  2.165  3.70E-01
  1200.0  2.322  4.28E-01
  1219.0  2.454  5.64E-01
  1230.0  2.506  7.47E-01
  1246.0  2.396  9.70E-01
  1269.0  2.320  1.18E+00
  1304.0  1.774  1.70E+00
  1311.0  1.517  1.73E+00
  1323.0  1.146  1.59E+00
  1342.0   .793  1.09E+00
  1358.0   .843  8.05E-01
  1377.0   .923  5.44E-01
  1419.0  1.107  2.69E-01
  1454.0  1.247  1.57E-01
  1489.0  1.367  1.21E-01
  1547.0  1.505  8.02E-02
  1562.0  1.546  8.00E-02
  1577.0  1.587  8.65E-02
  1612.0  1.673  1.27E-01
