
  Data: Imaginary indices of refraction for water and ice in
  the 0.67 to 2.5 micron range. 

  Reference: L. Kou, D. Labrie, and P. Chylek, Refractive indices of 
  water and ice in the 0.65 to 2.5 micron range, Applied Optics,
  vol. 32, pgs. 3531-3540, 1993.

  Format: wavenumber (cm-1), wavelength (microns), imaginary index
  of refraction, error (percent)
  147 values from  4000 to  6920 cm-1 (2x,f6.0,1x,f6.4,3(4x,e10.3,1x,f4.1))
  at 22 and -8 C for water, and at -25 C for ice.
  186 values from  6940 to 10640 cm-1 (2x,f6.0,1x,f6.4,2(4x,e10.3,1x,f4.1))
  at 22 and -8 C for water.
  218 values from 10660 to 15000 cm-1 (2x,f6.0,1x,f6.4,1(4x,e10.3,1x,f4.1))
  at 22 C for water.


 		    Water              Water              ICE 
		    22 C               -8 C               -25 C
   cm-1  microns    imaginary  error   imaginary  error   imaginary  error   

   6500. 1.5385     1.690E-04  2.2     2.000E-04  3.7     4.510E-04  2.0
   6520. 1.5337     1.780E-04  2.2     2.090E-04  3.1     4.620E-04  1.8
   6540. 1.5291     1.870E-04  3.5     2.230E-04  3.4     4.750E-04  1.9
   6560. 1.5244     1.950E-04  2.9     2.350E-04  2.6     4.870E-04  1.6
   6580. 1.5198     2.060E-04  2.8     2.480E-04  2.4     4.980E-04  1.5
   6600. 1.5152     2.180E-04  3.2     2.610E-04  2.7     5.090E-04  1.7
   6620. 1.5106     2.310E-04  3.0     2.750E-04  2.6     5.170E-04  1.6
   6640. 1.5060     2.450E-04  2.4     2.910E-04  2.1     5.270E-04  1.5
   6660. 1.5015     2.580E-04  2.5     3.040E-04  2.2     5.330E-04  1.5
   6680. 1.4970     2.730E-04  2.4     3.200E-04  2.2     5.380E-04  1.5
   6700. 1.4925     2.860E-04  2.4     3.330E-04  2.2     5.340E-04  1.6
   6720. 1.4881     3.050E-04  2.5     3.500E-04  2.3     5.270E-04  1.7
   6740. 1.4837     3.180E-04  2.0     3.610E-04  1.8     5.030E-04  1.6
   6760. 1.4793     3.320E-04  1.9     3.740E-04  1.8     4.710E-04  1.6
   6780. 1.4749     3.480E-04  2.2     3.850E-04  2.1     4.330E-04  2.0
   6800. 1.4706     3.580E-04  1.7     3.910E-04  1.6     3.860E-04  1.9
   6820. 1.4663     3.680E-04  2.2     3.970E-04  2.0     3.420E-04  2.6
   6840. 1.4620     3.770E-04  1.7     3.990E-04  1.7     2.990E-04  2.6
   6860. 1.4577     3.790E-04  1.9     3.950E-04  1.9     2.580E-04  3.1
   6880. 1.4535     3.790E-04  1.9     3.870E-04  1.9     2.200E-04  3.5
   6900. 1.4493     3.770E-04  2.0     3.800E-04  2.0     1.890E-04  4.3
   6920. 1.4451     3.740E-04  2.0     3.670E-04  2.1     1.600E-04  5.1
   6940. 1.4409     3.690E-04  2.0     3.530E-04  2.2
   6960. 1.4368     3.660E-04  1.9     3.390E-04  2.1
   6980. 1.4327     3.540E-04  2.3     3.180E-04  2.6
   7000. 1.4286     3.440E-04  1.9     2.990E-04  2.4
   7020. 1.4245     3.300E-04  2.3     2.790E-04  2.9
   7040. 1.4205     3.130E-04  2.1     2.570E-04  2.7
   7060. 1.4164     2.970E-04  2.4     2.380E-04  3.2
   7080. 1.4124     2.770E-04  2.9     2.180E-04  3.9
   7100. 1.4085     2.500E-04  2.5     1.940E-04  3.5
   7120. 1.4045     2.200E-04  3.6     1.690E-04  5.1
   7140. 1.4006     1.890E-04  3.9     1.450E-04  5.4
   7160. 1.3966     1.550E-04  5.4     1.180E-04  7.5
   7180. 1.3928     1.220E-04  3.1     9.230E-05  4.8
   7200. 1.3889     9.700E-05  2.7     7.350E-05  4.2
   7220. 1.3850     7.940E-05  3.1     6.070E-05  4.7
   7240. 1.3812     6.580E-05  2.3     5.090E-05  3.7
   7260. 1.3774     5.680E-05  1.9     4.460E-05  3.3
   7280. 1.3736     5.070E-05  1.7     4.080E-05  2.7
   7300. 1.3699     4.600E-05  1.8     3.760E-05  2.8
   7320. 1.3661     4.300E-05  1.3     3.580E-05  2.2
