==Reference Solar Irradiance, Rayleigh Scattering, O2 and O3 Xsection==
=============================WMO, 1985, P355-362=======================
spec.  wavelength     irrad.    ray.scat.  O2 Herz.    xs(cm-2) ozone
inte.  range (nm)   (ph/cm2/s)   xs(cm2)    xs(cm2)   T=203K     T=273K
-----------------------------------------------------------------------
 84   477.5 482.5   2.51e+15   7.92e-27   0.00e-00   7.11e-22  7.11e-22 
 85   482.5 487.5   2.30e+15   7.59e-27   0.00e-00   8.43e-22  8.43e-22 
 86   487.5 492.5   2.39e+15   7.28e-27   0.00e-00   8.28e-22  8.28e-22 
 87   492.5 497.5   2.48e+15   6.99e-27   0.00e-00   9.09e-22  9.09e-22 
 88   497.5 502.5   2.40e+15   6.71e-27   0.00e-00   1.22e-21  1.22e-21 
 89   502.5 507.5   2.46e+15   6.44e-27   0.00e-00   1.62e-21  1.62e-21 
 90   507.5 512.5   2.49e+15   6.19e-27   0.00e-00   1.58e-21  1.58e-21 
 91   512.5 517.5   2.32e+15   5.95e-27   0.00e-00   1.60e-21  1.60e-21 
 92   517.5 522.5   2.39e+15   5.72e-27   0.00e-00   1.78e-21  1.78e-21 
 93   522.5 527.5   2.42e+15   5.50e-27   0.00e-00   2.07e-21  2.07e-21 
 94   527.5 532.5   2.55e+15   5.30e-27   0.00e-00   2.55e-21  2.55e-21 
 95   532.5 537.5   2.51e+15   5.10e-27   0.00e-00   2.74e-21  2.74e-21 
 96   537.5 542.5   2.49e+15   4.91e-27   0.00e-00   2.88e-21  2.88e-21 
 97   542.5 547.5   2.55e+15   4.73e-27   0.00e-00   3.07e-21  3.07e-21 
 98   547.5 552.5   2.53e+15   4.56e-27   0.00e-00   3.17e-21  3.17e-21 
 99   552.5 557.5   2.54e+15   4.34e-27   0.00e-00   3.36e-21  3.36e-21 
100   557.5 562.5   2.50e+15   4.18e-27   0.00e-00   3.88e-21  3.88e-21 
101   562.5 567.5   2.57e+15   4.04e-27   0.00e-00   4.31e-21  4.31e-21 
102   567.5 572.5   2.58e+15   3.90e-27   0.00e-00   4.67e-21  4.67e-21 
103   572.5 577.5   2.67e+15   3.76e-27   0.00e-00   4.75e-21  4.75e-21 
104   577.5 582.5   2.67e+15   3.63e-27   0.00e-00   4.55e-21  4.55e-21 
105   582.5 587.5   2.70e+15   3.51e-27   0.00e-00   4.35e-21  4.35e-21 
106   587.5 592.5   2.62e+15   3.39e-27   0.00e-00   4.42e-21  4.42e-21 
107   592.5 597.5   2.69e+15   3.28e-27   0.00e-00   4.61e-21  4.61e-21 
108   597.5 602.5   2.63e+15   3.17e-27   0.00e-00   4.89e-21  4.89e-21 
109   602.5 607.5   2.68e+15   3.06e-27   0.00e-00   4.84e-21  4.84e-21 
110   607.5 612.5   2.66e+15   2.96e-27   0.00e-00   4.54e-21  4.54e-21 
111   612.5 617.5   2.59e+15   2.87e-27   0.00e-00   4.24e-21  4.24e-21 
112   617.5 622.5   2.69e+15   2.77e-27   0.00e-00   3.90e-21  3.90e-21 
113   622.5 627.5   2.61e+15   2.68e-27   0.00e-00   3.60e-21  3.60e-21 
114   627.5 632.5   2.62e+15   2.60e-27   0.00e-00   3.43e-21  3.43e-21 
115   632.5 637.5   2.62e+15   2.52e-27   0.00e-00   3.17e-21  3.17e-21 
116   637.5 642.5   2.63e+15   2.44e-27   0.00e-00   2.74e-21  2.74e-21 
117   642.5 647.5   2.60e+15   2.36e-27   0.00e-00   2.61e-21  2.61e-21 
118   647.5 652.5   2.55e+15   2.29e-27   0.00e-00   2.42e-21  2.42e-21 
119   652.5 657.5   2.48e+15   2.22e-27   0.00e-00   2.20e-21  2.20e-21 
120   657.5 662.5   2.57e+15   2.15e-27   0.00e-00   2.02e-21  2.02e-21 
121   662.5 667.5   2.61e+15   2.09e-27   0.00e-00   1.85e-21  1.85e-21 
122   667.5 672.5   2.61e+15   2.03e-27   0.00e-00   1.67e-21  1.67e-21 
123   672.5 677.5   2.62e+15   1.97e-27   0.00e-00   1.54e-21  1.54e-21 
124   677.5 682.5   2.62e+15   1.91e-27   0.00e-00   1.42e-21  1.42e-21 
125   682.5 687.5   2.57e+15   1.85e-27   0.00e-00   1.25e-21  1.25e-21 
126   687.5 692.5   2.52e+15   1.80e-27   0.00e-00   1.12e-21  1.12e-21 
127   692.5 697.5   2.60e+15   1.75e-27   0.00e-00   1.02e-21  1.02e-21 
128   697.5 702.5   2.58e+15   1.70e-27   0.00e-00   9.20e-22  9.20e-22 
129   702.5 707.5   2.52e+15   1.65e-27   0.00e-00   8.40e-22  8.40e-22 
130   707.5 712.5   2.51e+15   1.60e-27   0.00e-00   7.70e-22  7.70e-22 
131   712.5 717.5   2.48e+15   1.56e-27   0.00e-00   6.90e-22  6.90e-22 
132   717.5 722.5   2.45e+15   1.52e-27   0.00e-00   6.30e-22  6.30e-22 
133   722.5 727.5   2.48e+15   1.47e-27   0.00e-00   5.70e-22  5.70e-22 
134   727.5 732.5   2.45e+15   1.43e-27   0.00e-00   5.25e-22  5.25e-22 
135   732.5 737.5   2.44e+15   1.39e-27   0.00e-00   4.75e-22  4.75e-22 
136   737.5 742.5   2.39e+15   1.36e-27   0.00e-00   4.47e-22  4.47e-22 
137   742.5 747.5   2.40e+15   1.32e-27   0.00e-00   4.20e-22  4.20e-22 
138   747.5 752.5   2.41e+15   1.29e-27   0.00e-00   3.75e-22  3.75e-22 
139   752.5 757.5   2.40e+15   1.25e-27   0.00e-00   3.25e-22  3.25e-22 
