Fri, 28 Aug 1998 17:04:39 -0300 (ADT)
File: abs_xsx_H2OH2O_CFT98.txt

These data are (apparently) computed from the fourier smoothed 
data. These data were used to create the actual figures printed
in TGC98. I have never used these data.

    Wavenumber   log(absorption cross-section/10^{-20} cm^2) 
     (cm^{-1}) 
     2427.07   -1.88180
     2430.08   -1.89213
     2433.08   -1.90220
     2436.09   -1.91200
     2439.10   -1.92155
     2442.11   -1.93083
     2445.11   -1.93986
     2448.12   -1.94864
     2451.13   -1.95718
     2454.14   -1.96546
     2457.14   -1.97350
     2460.15   -1.98129
     2463.16   -1.98883
     2466.17   -1.99612
     2469.17   -2.00316
     2472.18   -2.00995
     2475.19   -2.01648
     2478.20   -2.02275
     2481.20   -2.02875
     2484.21   -2.03449
     2487.22   -2.03995
     2490.23   -2.04515
     2493.23   -2.05007
     2496.24   -2.05471
     2499.25   -2.05907
     2502.26   -2.06316
     2505.26   -2.06698
     2508.27   -2.07052
     2511.28   -2.07379
     2514.29   -2.07680
     2517.29   -2.07956
     2520.30   -2.08207
     2523.31   -2.08434
     2526.32   -2.08638
     2529.32   -2.08822
     2532.33   -2.08985
     2535.34   -2.09130
     2538.35   -2.09259
     2541.35   -2.09372
     2544.36   -2.09472
     2547.37   -2.09560
     2550.38   -2.09639
     2553.38   -2.09709
     2556.39   -2.09774
     2559.40   -2.09833
     2562.41   -2.09890
     2565.41   -2.09945
     2568.42   -2.10001
     2571.43   -2.10058
     2574.44   -2.10117
     2577.44   -2.10180
     2580.45   -2.10248
     2583.46   -2.10320
     2586.47   -2.10398
     2589.47   -2.10481
     2592.48   -2.10570
     2595.49   -2.10665
     2598.50   -2.10765
     2601.50   -2.10870
     2604.51   -2.10978
     2607.52   -2.11090
     2610.53   -2.11204
     2613.53   -2.11319
     2616.54   -2.11434
     2619.55   -2.11547
     2622.56   -2.11657
     2625.56   -2.11763
     2628.57   -2.11862
     2631.58   -2.11954
     2634.59   -2.12037
     2637.59   -2.12110
     2640.60   -2.12170
     2643.61   -2.12218
     2646.62   -2.12250
     2649.62   -2.12266
     2652.63   -2.12265
     2655.64   -2.12246
     2658.65   -2.12208
     2661.65   -2.12149
     2664.66   -2.12070
     2667.67   -2.11970
     2670.68   -2.11848
     2673.68   -2.11703
     2676.69   -2.11536
     2679.70   -2.11347
     2682.71   -2.11134
     2685.71   -2.10899
     2688.72   -2.10641
     2691.73   -2.10361
     2694.74   -2.10058
     2697.74   -2.09733
     2700.75   -2.09386
     2703.76   -2.09017
     2706.77   -2.08628
     2709.77   -2.08217
     2712.78   -2.07786
     2715.79   -2.07334
     2718.80   -2.06863
     2721.80   -2.06372
     2724.81   -2.05862
     2727.82   -2.05334
     2730.83   -2.04787
     2733.83   -2.04223
     2736.84   -2.03641
     2739.85   -2.03041
     2742.86   -2.02426
     2745.86   -2.01794
     2748.87   -2.01147
     2751.88   -2.00484
     2754.89   -1.99807
     2757.89   -1.99116
     2760.90   -1.98412
     2763.91   -1.97695
     2766.92   -1.96965
     2769.92   -1.96225
     2772.93   -1.95473
     2775.94   -1.94711
     2778.95   -1.93940
     2781.95   -1.93160
     2784.96   -1.92371
     2787.97   -1.91575
     2790.98   -1.90771
     2793.98   -1.89961
     2796.99   -1.89143
     2800.00   -1.88319
     2803.01   -1.87489
     2806.01   -1.86652
     2809.02   -1.85808
     2812.03   -1.84957
     2815.04   -1.84098
     2818.05   -1.83231
     2821.05   -1.82354
     2824.06   -1.81466
     2827.07   -1.80567
     2830.08   -1.79654
     2833.08   -1.78727
     2836.09   -1.77783
     2839.10   -1.76821
     2842.11   -1.75838
     2845.11   -1.74833
     2848.12   -1.73804
     2851.13   -1.72749
     2854.14   -1.71665
     2857.14   -1.70551
     2860.15   -1.69405
     2863.16   -1.68225
     2866.17   -1.67010
     2869.17   -1.65758
     2872.18   -1.64468
     2875.19   -1.63138
     2878.20   -1.61770
     2881.20   -1.60361
     2884.21   -1.58913
     2887.22   -1.57426
     2890.23   -1.55900
     2893.23   -1.54336
     2896.24   -1.52736
     2899.25   -1.51102
     2902.26   -1.49437
     2905.26   -1.47742
     2908.27   -1.46020
     2911.28   -1.44275
     2914.29   -1.42509
     2917.29   -1.40728
     2920.30   -1.38933
     2923.31   -1.37129
     2926.32   -1.35321
     2929.32   -1.33511
     2932.33   -1.31704
     2935.34   -1.29904
     2938.35   -1.28114
     2941.35   -1.26338
     2944.36   -1.24578
     2947.37   -1.22838
     2950.38   -1.21120
     2953.38   -1.19426
     2956.39   -1.17758
     2959.40   -1.16117
     2962.41   -1.14504
     2965.41   -1.12919
     2968.42   -1.11361
     2971.43   -1.09831
     2974.44   -1.08327
     2977.44   -1.06846
     2980.45   -1.05387
     2983.46   -1.03948
     2986.47   -1.02525
     2989.47   -1.01115
     2992.48  -0.997144
     2995.49  -0.983194
     2998.50  -0.969262
     3001.50  -0.955305
     3004.51  -0.941285
     3007.52  -0.927159
     3010.53  -0.912889
     3013.53  -0.898436
     3016.54  -0.883767
     3019.55  -0.868847
     3022.56  -0.853650
     3025.56  -0.838151
     3028.57  -0.822329
     3031.58  -0.806171
     3034.59  -0.789668
     3037.59  -0.772816
     3040.60  -0.755619
     3043.61  -0.738084
     3046.62  -0.720229
     3049.62  -0.702072
     3052.63  -0.683642
     3055.64  -0.664973
     3058.65  -0.646102
     3061.65  -0.627074
     3064.66  -0.607937
     3067.67  -0.588744
     3070.68  -0.569552
     3073.68  -0.550421
     3076.69  -0.531415
     3079.70  -0.512597
     3082.71  -0.494034
     3085.71  -0.475792
     3088.72  -0.457940
     3091.73  -0.440542
     3094.74  -0.423665
     3097.74  -0.407373
     3100.75  -0.391727
     3103.76  -0.376785
     3106.77  -0.362603
     3109.77  -0.349233
     3112.78  -0.336724
     3115.79  -0.325119
     3118.80  -0.314457
     3121.80  -0.304772
     3124.81  -0.296096
     3127.82  -0.288452
     3130.83  -0.281862
     3133.83  -0.276340
     3136.84  -0.271898
     3139.85  -0.268541
     3142.86  -0.266273
     3145.86  -0.265091
     3148.87  -0.264988
     3151.88  -0.265955
     3154.89  -0.267979
     3157.89  -0.271043
     3160.90  -0.275129
     3163.91  -0.280214
     3166.92  -0.286275
     3169.92  -0.293285
     3172.93  -0.301217
     3175.94  -0.310043
     3178.95  -0.319729
     3181.95  -0.330247
     3184.96  -0.341562
     3187.97  -0.353641
     3190.98  -0.366450
     3193.98  -0.379955
     3196.99  -0.394119
     3200.00  -0.408909
     3203.01  -0.424288
     3206.01  -0.440220
     3209.02  -0.456669
     3212.03  -0.473598
     3215.04  -0.490972
     3218.05  -0.508754
     3221.05  -0.526907
     3224.06  -0.545394
     3227.07  -0.564179
     3230.08  -0.583227
     3233.08  -0.602498
     3236.09  -0.621959
     3239.10  -0.641572
     3242.11  -0.661301
     3245.11  -0.681112
     3248.12  -0.700969
     3251.13  -0.720837
     3254.14  -0.740683
     3257.14  -0.760473
     3260.15  -0.780175
     3263.16  -0.799757
     3266.17  -0.819189
     3269.17  -0.838440
     3272.18  -0.857482
     3275.19  -0.876287
     3278.20  -0.894830
     3281.20  -0.913084
     3284.21  -0.931026
     3287.22  -0.948632
     3290.23  -0.965881
     3293.23  -0.982752
     3296.24  -0.999225
     3299.25   -1.01528
     3302.26   -1.03090
     3305.26   -1.04607
     3308.27   -1.06077
     3311.28   -1.07499
     3314.29   -1.08870
     3317.29   -1.10190
     3320.30   -1.11457
     3323.31   -1.12669
     3326.32   -1.13826
     3329.32   -1.14925
     3332.33   -1.15964
     3335.34   -1.16944
     3338.35   -1.17861
     3341.35   -1.18715
     3344.36   -1.19503
     3347.37   -1.20225
     3350.38   -1.20879
     3353.38   -1.21463
     3356.39   -1.21976
     3359.40   -1.22416
     3362.41   -1.22782
     3365.41   -1.23073
     3368.42   -1.23286
     3371.43   -1.23422
     3374.44   -1.23478
     3377.44   -1.23454
     3380.45   -1.23349
     3383.46   -1.23162
     3386.47   -1.22893
     3389.47   -1.22541
     3392.48   -1.22105
     3395.49   -1.21587
     3398.50   -1.20985
     3401.50   -1.20301
     3404.51   -1.19534
     3407.52   -1.18685
     3410.53   -1.17755
     3413.53   -1.16745
     3416.54   -1.15656
     3419.55   -1.14488
     3422.56   -1.13243
     3425.56   -1.11922
     3428.57   -1.10527
     3431.58   -1.09058
     3434.59   -1.07517
     3437.59   -1.05905
     3440.60   -1.04223
     3443.61   -1.02473
     3446.62   -1.00655
     3449.62  -0.987705
     3452.63  -0.968204
     3455.64  -0.948055
     3458.65  -0.927263
     3461.65  -0.905838
     3464.66  -0.883784
     3467.67  -0.861106
