This is Bob Kurucz's extraterrestrial solar spectrum, based on
a line-by-line calculation, a theoretical model of the Sun, and
relevant datasets.  It has been averaged to 1 cm-1 resolution.
The wavenumber column value refers to an average over plus and
minus 0.5 cm-1 around that value. The columns are tab-delimited.
97/04/24: CSZ added last line of flux = 49984 cm-1 = 0 Wm-2/cm-1
Wavenumber(cm-1)	SolarSpectrum(Wm-2/cm-1)
757	1.426E-03
758	1.429E-03
759	1.433E-03
760	1.437E-03
761	1.441E-03
762	1.444E-03
763	1.448E-03
764	1.452E-03
765	1.455E-03
766	1.459E-03
767	1.463E-03
768	1.466E-03
769	1.470E-03
770	1.474E-03
771	1.478E-03
772	1.481E-03
773	1.485E-03
774	1.489E-03
775	1.493E-03
776	1.497E-03
777	1.501E-03
778	1.505E-03
779	1.509E-03
780	1.512E-03
781	1.516E-03
782	1.520E-03
783	1.524E-03
784	1.528E-03
785	1.531E-03
786	1.535E-03
787	1.539E-03
788	1.543E-03
789	1.547E-03
790	1.550E-03
791	1.554E-03
792	1.558E-03
793	1.562E-03
794	1.566E-03
795	1.569E-03
796	1.573E-03
797	1.577E-03
798	1.581E-03
799	1.585E-03
800	1.589E-03
801	1.593E-03
802	1.596E-03
803	1.600E-03
804	1.604E-03
805	1.608E-03
806	1.612E-03
807	1.615E-03
808	1.620E-03
809	1.624E-03
810	1.628E-03
811	1.631E-03
812	1.635E-03
813	1.639E-03
814	1.643E-03
815	1.647E-03
816	1.651E-03
817	1.655E-03
818	1.660E-03
819	1.664E-03
820	1.668E-03
821	1.672E-03
822	1.676E-03
823	1.680E-03
824	1.684E-03
825	1.688E-03
826	1.692E-03
827	1.696E-03
828	1.700E-03
829	1.704E-03
830	1.708E-03
831	1.712E-03
832	1.716E-03
833	1.720E-03
834	1.724E-03
835	1.728E-03
836	1.732E-03
837	1.736E-03
838	1.740E-03
839	1.744E-03
840	1.748E-03
841	1.752E-03
842	1.756E-03
843	1.760E-03
844	1.764E-03
845	1.768E-03
846	1.772E-03
847	1.776E-03
848	1.781E-03
849	1.785E-03
850	1.789E-03
851	1.793E-03
852	1.797E-03
853	1.801E-03
854	1.805E-03
855	1.809E-03
856	1.813E-03
857	1.817E-03
858	1.822E-03
859	1.827E-03
860	1.831E-03
861	1.835E-03
862	1.839E-03
863	1.843E-03
864	1.847E-03
865	1.851E-03
866	1.855E-03
867	1.860E-03
868	1.864E-03
869	1.868E-03
870	1.872E-03
871	1.877E-03
872	1.881E-03
873	1.885E-03
874	1.889E-03
875	1.893E-03
876	1.897E-03
877	1.901E-03
878	1.906E-03
879	1.910E-03
880	1.914E-03
881	1.918E-03
882	1.923E-03
883	1.926E-03
884	1.929E-03
885	1.934E-03
886	1.940E-03
887	1.944E-03
888	1.948E-03
889	1.952E-03
890	1.957E-03
891	1.961E-03
892	1.965E-03
893	1.970E-03
894	1.974E-03
895	1.978E-03
896	1.983E-03
897	1.987E-03
898	1.992E-03
899	1.996E-03
900	2.001E-03
901	2.005E-03
902	2.009E-03
903	2.014E-03
904	2.018E-03
905	2.022E-03
906	2.026E-03
907	2.031E-03
908	2.035E-03
909	2.039E-03
910	2.044E-03
911	2.048E-03
912	2.052E-03
913	2.057E-03
914	2.061E-03
915	2.066E-03
916	2.070E-03
917	2.074E-03
918	2.079E-03
919	2.083E-03
920	2.088E-03
921	2.092E-03
922	2.096E-03
923	2.101E-03
924	2.105E-03
925	2.109E-03
926	2.114E-03
927	2.118E-03
928	2.123E-03
929	2.127E-03
930	2.132E-03
931	2.137E-03
932	2.142E-03
933	2.146E-03
934	2.151E-03
935	2.155E-03
936	2.160E-03
937	2.164E-03
938	2.168E-03
939	2.172E-03
940	2.177E-03
941	2.182E-03
942	2.186E-03
943	2.191E-03
944	2.195E-03
945	2.200E-03
946	2.204E-03
947	2.209E-03
948	2.213E-03
949	2.218E-03
950	2.222E-03
951	2.226E-03
952	2.230E-03
953	2.235E-03
954	2.241E-03
955	2.245E-03
956	2.250E-03
957	2.254E-03
958	2.259E-03
959	2.263E-03
960	2.268E-03
961	2.273E-03
962	2.277E-03
963	2.282E-03
964	2.286E-03
965	2.291E-03
966	2.296E-03
967	2.301E-03
968	2.305E-03
969	2.310E-03
970	2.315E-03
971	2.319E-03
972	2.324E-03
973	2.329E-03
974	2.333E-03
975	2.338E-03
976	2.342E-03
977	2.347E-03
978	2.352E-03
979	2.357E-03
980	2.361E-03
981	2.366E-03
982	2.370E-03
983	2.375E-03
984	2.380E-03
985	2.385E-03
986	2.389E-03
987	2.394E-03
988	2.399E-03
989	2.403E-03
990	2.407E-03
991	2.413E-03
992	2.417E-03
993	2.422E-03
994	2.427E-03
995	2.432E-03
996	2.436E-03
997	2.441E-03
998	2.446E-03
999	2.450E-03
1000	2.454E-03
1001	2.459E-03
1002	2.464E-03
1003	2.468E-03
1004	2.472E-03
1005	2.478E-03
1006	2.482E-03
1007	2.487E-03
1008	2.492E-03
1009	2.497E-03
1010	2.502E-03
1011	2.507E-03
1012	2.512E-03
1013	2.516E-03
1014	2.521E-03
1015	2.526E-03
1016	2.531E-03
1017	2.536E-03
1018	2.540E-03
1019	2.545E-03
1020	2.549E-03
1021	2.552E-03
1022	2.558E-03
1023	2.565E-03
1024	2.570E-03
1025	2.574E-03
1026	2.578E-03
1027	2.582E-03
1028	2.587E-03
1029	2.593E-03
1030	2.599E-03
1031	2.604E-03
1032	2.609E-03
1033	2.614E-03
1034	2.619E-03
1035	2.624E-03
1036	2.629E-03
1037	2.634E-03
1038	2.639E-03
1039	2.643E-03
1040	2.648E-03
1041	2.653E-03
1042	2.658E-03
1043	2.663E-03
1044	2.668E-03
1045	2.673E-03
1046	2.678E-03
1047	2.683E-03
1048	2.688E-03
1049	2.692E-03
1050	2.696E-03
1051	2.702E-03
1052	2.708E-03
1053	2.712E-03
1054	2.717E-03
1055	2.722E-03
1056	2.727E-03
1057	2.732E-03
1058	2.738E-03
1059	2.743E-03
1060	2.748E-03
1061	2.753E-03
1062	2.758E-03
1063	2.763E-03
1064	2.768E-03
1065	2.773E-03
1066	2.778E-03
1067	2.784E-03
1068	2.789E-03
1069	2.793E-03
1070	2.798E-03
1071	2.804E-03
1072	2.809E-03
1073	2.814E-03
1074	2.819E-03
1075	2.824E-03
1076	2.829E-03
1077	2.834E-03
1078	2.839E-03
1079	2.844E-03
1080	2.850E-03
1081	2.854E-03
1082	2.859E-03
1083	2.865E-03
1084	2.870E-03
1085	2.875E-03
1086	2.880E-03
1087	2.885E-03
1088	2.890E-03
1089	2.895E-03
1090	2.899E-03
1091	2.904E-03
1092	2.910E-03
1093	2.915E-03
1094	2.918E-03
1095	2.924E-03
1096	2.930E-03
1097	2.936E-03
1098	2.942E-03
1099	2.945E-03
1100	2.948E-03
1101	2.955E-03
1102	2.963E-03
1103	2.969E-03
1104	2.974E-03
1105	2.978E-03
1106	2.981E-03
1107	2.986E-03
1108	2.993E-03
1109	3.000E-03
1110	3.005E-03
1111	3.009E-03
1112	3.013E-03
1113	3.017E-03
