Fri, 28 Aug 1998 17:04:39 -0300 (ADT)
File: abs_xsx_H2OH2O_TGC98.txt
These are the data Bill Tso sent me after much correspondence.
These are the raw data which were used in TGC98. The figure in
TGC98 was prepared by taking these data and smoothing them with
a Fourier filter as explained in his previous correspondence.
These data differ significant from the original dataset Petr Chylek
sent me. Those data extended all the way to ~23000 cm-1, and the peaks
were in different locations.





Wavenumber in cm^{-1} for the first column and
absorption cross-section in 10^{-20} cm^2 for
the second column.

 339.8496094 0.6777542233
 342.8571472 0.6522253752
 345.8646545 0.6399643421
 348.8721924 0.6179201007
 351.8796997 0.6079105735
 354.8872070 0.5881582499
 357.8947449 0.5787584186
 360.9022522 0.5591763854
 363.9097595 0.5481736064
 366.9172974 0.5267179012
 369.9248047 0.5125702620
 372.9323120 0.4886463284
 375.9398499 0.4717201889
 378.9473572 0.4467050433
 381.9548950 0.4290270805
 384.9624023 0.4051852226
 387.9699097 0.3888624012
 390.9774475 0.3678061366
 393.9849548 0.3539938033
 396.9924927 0.3362418413
 400.0000000 0.3251726031
 403.0075073 0.3105818927
 406.0150452 0.3020049334
 409.0225525 0.2900859416
 412.0300598 0.2835347056
 415.0375977 0.2737098634
 418.0451050 0.2687403560
 421.0526123 0.2606372535
 424.0601501 0.2570443153
 427.0676575 0.2504656315
 430.0751953 0.2481247783
 433.0827026 0.2428792566
 436.0902100 0.2416025102
 439.0977478 0.2374642640
 442.1052551 0.2371242493
 445.1127930 0.2340234667
 448.1203003 0.2347204685
 451.1278076 0.2328609079
 454.1353455 0.2349325269
 457.1428528 0.2347622961
 460.1503601 0.2387298197
 463.1578979 0.2406333238
 466.1654053 0.2468292266
 469.1729126 0.2509687245
 472.1804504 0.2595361471
 475.1879578 0.2659515738
 478.1954956 0.2769789696
 481.2030029 0.2857158184
 484.2105103 0.2993326187
 487.2180481 0.3104881942
 490.2255554 0.3268366456
 493.2330933 0.3405006528
 496.2406006 0.3598011136
 499.2481079 0.3762056231
 502.2556458 0.3988211453
 505.2631531 0.4183576405
 508.2706604 0.4448454082
 511.2781982 0.4681654274
 514.2857056 0.4996349216
 517.2932129 0.5283882022
 520.3007202 0.5675897002
 523.3082886 0.6058467627
 526.3157959 0.6592299938
 529.3233032 0.7162400484
 532.3308105 0.7976675034
 535.3383179 0.8916733861
 538.3458862 1.025515437
 541.3533936 1.183511138
 544.3609009 1.403518438
 547.3684082 1.655798793
 550.3759155 2.013326406
 553.3834229 2.366389990
 556.3909912 2.765652895
 559.3984985 2.991090536
 562.4060059 3.121300459
 565.4135132 3.062954664
 568.4210205 2.905153275
 571.4285889 2.561557293
 574.4360962 2.246053457
 577.4436035 1.912577510
 580.4511108 1.676828742
 583.4586182 1.470159173
 586.4661865 1.327250957
 589.4736938 1.207897067
 592.4812012 1.133291602
 595.4887085 1.071663618
 598.4962158 1.040762186
 601.5037842 1.013604283
 604.5112915 1.009249449
