This is Bob Kurucz's extraterrestrial solar spectrum, based on
a line-by-line calculation, a theoretical model of the Sun, and
relevant datasets.  It has been averaged to 20 cm-1 resolution.
The wavenumber column value refers to an average over plus and
minus 10 cm-1 around that value. The columns are tab-delimited.
97/04/24: CSZ added first line of flux = 49980 cm-1 = 0 Wm-2/cm-1
Wavenumber(cm-1)	SolarSpectrum(Wm-2/cm-1)
6260.0	0.63550E-01
6280.0	0.62750E-01
6300.0	0.61900E-01
6320.0	0.63550E-01
6340.0	0.62000E-01
6360.0	0.64350E-01
6380.0	0.64000E-01
6400.0	0.65050E-01
6420.0	0.64450E-01
6440.0	0.64650E-01
6460.0	0.65050E-01
6480.0	0.65550E-01
6500.0	0.65100E-01
6520.0	0.65550E-01
6540.0	0.65250E-01
6560.0	0.65400E-01
6580.0	0.65750E-01
6600.0	0.65450E-01
6620.0	0.65600E-01
6640.0	0.63500E-01
6660.0	0.65000E-01
6680.0	0.65650E-01
6700.0	0.66400E-01
6720.0	0.64200E-01
6740.0	0.66000E-01
6760.0	0.65750E-01
6780.0	0.65350E-01
6800.0	0.66150E-01
6820.0	0.66150E-01
6840.0	0.66200E-01
6860.0	0.66450E-01
6880.0	0.65950E-01
6900.0	0.66750E-01
6920.0	0.66350E-01
6940.0	0.65700E-01
6960.0	0.67250E-01
6980.0	0.67000E-01
7000.0	0.66150E-01
7020.0	0.66200E-01
7040.0	0.66950E-01
7060.0	0.67550E-01
7080.0	0.66850E-01
7100.0	0.67800E-01
7120.0	0.67600E-01
7140.0	0.67450E-01
7160.0	0.68200E-01
7180.0	0.68200E-01
7200.0	0.68150E-01
7220.0	0.68200E-01
7240.0	0.68100E-01
7260.0	0.67900E-01
7280.0	0.68450E-01
7300.0	0.67700E-01
7320.0	0.68350E-01
7340.0	0.68350E-01
7360.0	0.68050E-01
7380.0	0.68300E-01
7400.0	0.68600E-01
7420.0	0.68850E-01
7440.0	0.69000E-01
7460.0	0.68400E-01
7480.0	0.68950E-01
7500.0	0.68750E-01
7520.0	0.68300E-01
7540.0	0.69050E-01
7560.0	0.69150E-01
7580.0	0.69150E-01
7600.0	0.68400E-01
7620.0	0.68450E-01
7640.0	0.69400E-01
7660.0	0.69300E-01
7680.0	0.69050E-01
7700.0	0.69450E-01
7720.0	0.69500E-01
7740.0	0.69300E-01
7760.0	0.69350E-01
7780.0	0.68850E-01
7800.0	0.64550E-01
7820.0	0.69550E-01
7840.0	0.69850E-01
7860.0	0.70000E-01
7880.0	0.69600E-01
7900.0	0.69550E-01
7920.0	0.69900E-01
7940.0	0.69950E-01
7960.0	0.69900E-01
7980.0	0.69850E-01
8000.0	0.70350E-01
8020.0	0.70150E-01
8040.0	0.69800E-01
8060.0	0.70050E-01
8080.0	0.70650E-01
8100.0	0.70300E-01
8120.0	0.70250E-01
8140.0	0.70050E-01
8160.0	0.70650E-01
8180.0	0.70450E-01
8200.0	0.70600E-01
8220.0	0.70850E-01
8240.0	0.70650E-01
8260.0	0.69750E-01
8280.0	0.69000E-01
8300.0	0.69200E-01
8320.0	0.70750E-01
8340.0	0.68200E-01
8360.0	0.70200E-01
8380.0	0.71000E-01
8400.0	0.70500E-01
8420.0	0.69450E-01
8440.0	0.70600E-01
8460.0	0.69450E-01
8480.0	0.70450E-01
8500.0	0.69750E-01
8520.0	0.71100E-01
8540.0	0.71250E-01
8560.0	0.70200E-01
8580.0	0.70050E-01
8600.0	0.70600E-01
8620.0	0.69500E-01
8640.0	0.71400E-01
8660.0	0.71350E-01
8680.0	0.70950E-01
8700.0	0.71100E-01
8720.0	0.71550E-01
8740.0	0.70600E-01
8760.0	0.69950E-01
8780.0	0.70050E-01
8800.0	0.71150E-01
8820.0	0.70650E-01
8840.0	0.70950E-01
8860.0	0.70550E-01
8880.0	0.70200E-01
8900.0	0.71400E-01
8920.0	0.70750E-01
8940.0	0.70950E-01
8960.0	0.71150E-01
8980.0	0.71050E-01
9000.0	0.71150E-01
9020.0	0.71300E-01
9040.0	0.71150E-01
9060.0	0.71300E-01
9080.0	0.70400E-01
9100.0	0.70200E-01
9120.0	0.69850E-01
9140.0	0.67950E-01
9160.0	0.71800E-01
9180.0	0.71200E-01
9200.0	0.70750E-01
9220.0	0.72150E-01
9240.0	0.69500E-01
9260.0	0.71800E-01
9280.0	0.72400E-01
9300.0	0.71550E-01
9320.0	0.71600E-01
9340.0	0.71850E-01
9360.0	0.70850E-01
9380.0	0.72200E-01
9400.0	0.72650E-01
9420.0	0.72100E-01
9440.0	0.71950E-01
9460.0	0.73100E-01
9480.0	0.73150E-01
9500.0	0.72750E-01
9520.0	0.73050E-01
9540.0	0.72850E-01
9560.0	0.72200E-01
9580.0	0.73050E-01
9600.0	0.73100E-01
9620.0	0.72950E-01
9640.0	0.72500E-01
9660.0	0.72650E-01
9680.0	0.72800E-01
9700.0	0.73300E-01
9720.0	0.73250E-01
9740.0	0.73500E-01
9760.0	0.73450E-01
9780.0	0.72850E-01
9800.0	0.72650E-01
9820.0	0.72950E-01
9840.0	0.72850E-01
9860.0	0.73200E-01
9880.0	0.73400E-01
9900.0	0.73550E-01
9920.0	0.73350E-01
9940.0	0.70250E-01
9960.0	0.72350E-01
9980.0	0.73600E-01
10000.0	0.73450E-01
10020.0	0.73550E-01
10040.0	0.73450E-01
10060.0	0.73550E-01
10080.0	0.73350E-01
10100.0	0.72450E-01
10120.0	0.73300E-01
10140.0	0.73150E-01
10160.0	0.73200E-01
10180.0	0.73500E-01
10200.0	0.73300E-01
10220.0	0.72800E-01
10240.0	0.72800E-01
10260.0	0.72450E-01
10280.0	0.73350E-01
10300.0	0.73200E-01
10320.0	0.73250E-01
10340.0	0.72700E-01
10360.0	0.72400E-01
10380.0	0.72250E-01
10400.0	0.72900E-01
10420.0	0.73200E-01
10440.0	0.72800E-01
10460.0	0.72300E-01
10480.0	0.70550E-01
10500.0	0.73250E-01
10520.0	0.73100E-01
10540.0	0.73650E-01
10560.0	0.73100E-01
10580.0	0.72550E-01
10600.0	0.72100E-01
10620.0	0.69850E-01
10640.0	0.72850E-01
10660.0	0.73400E-01
10680.0	0.73000E-01
10700.0	0.73200E-01
10720.0	0.73250E-01
10740.0	0.73600E-01
10760.0	0.72900E-01
10780.0	0.73600E-01
10800.0	0.71200E-01
10820.0	0.71350E-01
10840.0	0.70100E-01
10860.0	0.71650E-01
10880.0	0.73650E-01
10900.0	0.72650E-01
10920.0	0.73500E-01
10940.0	0.73950E-01
10960.0	0.73250E-01
10980.0	0.72700E-01
11000.0	0.71450E-01
11020.0	0.73350E-01
11040.0	0.73050E-01
11060.0	0.74300E-01
11080.0	0.71550E-01
11100.0	0.70300E-01
11120.0	0.73850E-01
11140.0	0.73150E-01
11160.0	0.74500E-01
11180.0	0.72900E-01
11200.0	0.72450E-01
11220.0	0.74150E-01
11240.0	0.73950E-01
11260.0	0.73550E-01
11280.0	0.70550E-01
11300.0	0.73700E-01
11320.0	0.72250E-01
11340.0	0.73350E-01
11360.0	0.70900E-01
11380.0	0.73650E-01
11400.0	0.73350E-01
11420.0	0.71550E-01
11440.0	0.72800E-01
11460.0	0.73550E-01
11480.0	0.73150E-01
11500.0	0.70950E-01
11520.0	0.71450E-01
11540.0	0.60400E-01
11560.0	0.72950E-01
11580.0	0.73900E-01
11600.0	0.72300E-01
11620.0	0.72950E-01
11640.0	0.72200E-01
11660.0	0.73800E-01
11680.0	0.72900E-01
11700.0	0.57400E-01
11720.0	0.71350E-01
11740.0	0.71950E-01
11760.0	0.66950E-01
11780.0	0.73500E-01
11800.0	0.72400E-01
11820.0	0.73500E-01
11840.0	0.72550E-01
11860.0	0.72200E-01
11880.0	0.73250E-01
11900.0	0.73400E-01
11920.0	0.71750E-01
11940.0	0.73400E-01
11960.0	0.73300E-01
11980.0	0.72200E-01
12000.0	0.71200E-01
12020.0	0.72900E-01
12040.0	0.72450E-01
12060.0	0.73200E-01
12080.0	0.73700E-01
12100.0	0.73450E-01
12120.0	0.73000E-01
12140.0	0.71950E-01
12160.0	0.72300E-01
12180.0	0.71500E-01
12200.0	0.71200E-01
12220.0	0.71800E-01
12240.0	0.73200E-01
12260.0	0.73150E-01
12280.0	0.73550E-01
12300.0	0.73500E-01
12320.0	0.73150E-01
12340.0	0.72450E-01
12360.0	0.71900E-01
12380.0	0.72650E-01
12400.0	0.73750E-01
12420.0	0.71600E-01
12440.0	0.73450E-01
12460.0	0.72450E-01
12480.0	0.73500E-01
12500.0	0.72200E-01
12520.0	0.73400E-01
12540.0	0.73300E-01
12560.0	0.72750E-01
12580.0	0.71050E-01
12600.0	0.70850E-01
12620.0	0.72350E-01
12640.0	0.72550E-01
12660.0	0.73200E-01
12680.0	0.73150E-01
12700.0	0.73200E-01
12720.0	0.72450E-01
12740.0	0.73100E-01
12760.0	0.72050E-01
12780.0	0.73350E-01
12800.0	0.72800E-01
12820.0	0.72800E-01
12840.0	0.73250E-01
12860.0	0.72500E-01
12880.0	0.73450E-01
12900.0	0.70850E-01
12920.0	0.72950E-01
12940.0	0.71600E-01
12960.0	0.71650E-01
12980.0	0.72400E-01
13000.0	0.72550E-01
13020.0	0.72850E-01
13040.0	0.70000E-01
13060.0	0.70850E-01
13080.0	0.73400E-01
13100.0	0.73200E-01
13120.0	0.70950E-01
13140.0	0.72300E-01
13160.0	0.72650E-01
13180.0	0.71600E-01
13200.0	0.71900E-01
13220.0	0.72150E-01
13240.0	0.72150E-01
13260.0	0.73000E-01
13280.0	0.71150E-01
13300.0	0.71750E-01
13320.0	0.72100E-01
13340.0	0.70650E-01
13360.0	0.72100E-01
13380.0	0.72000E-01
13400.0	0.71900E-01
13420.0	0.70650E-01
13440.0	0.71600E-01
13460.0	0.70500E-01
13480.0	0.69300E-01
13500.0	0.69750E-01
13520.0	0.70700E-01
13540.0	0.70100E-01
13560.0	0.72100E-01
13580.0	0.71050E-01
13600.0	0.71150E-01
13620.0	0.72250E-01
13640.0	0.70300E-01
13660.0	0.71500E-01
13680.0	0.70100E-01
13700.0	0.70800E-01
13720.0	0.68400E-01
13740.0	0.71350E-01
13760.0	0.70900E-01
13780.0	0.71250E-01
13800.0	0.71200E-01
13820.0	0.71700E-01
13840.0	0.69500E-01
13860.0	0.70550E-01
13880.0	0.69900E-01
13900.0	0.67850E-01
13920.0	0.69400E-01
13940.0	0.71200E-01
13960.0	0.69400E-01
13980.0	0.68750E-01
14000.0	0.71100E-01
14020.0	0.69850E-01
14040.0	0.70200E-01
14060.0	0.70200E-01
14080.0	0.71350E-01
14100.0	0.70200E-01
14120.0	0.71000E-01
14140.0	0.69650E-01
14160.0	0.70600E-01
14180.0	0.71200E-01
14200.0	0.70500E-01
14220.0	0.70300E-01
14240.0	0.68200E-01
14260.0	0.69750E-01
14280.0	0.69700E-01
14300.0	0.71100E-01
14320.0	0.69500E-01
14340.0	0.70700E-01
14360.0	0.70300E-01
14380.0	0.70250E-01
14400.0	0.70100E-01
14420.0	0.70300E-01
14440.0	0.69950E-01
14460.0	0.69600E-01
14480.0	0.70550E-01
14500.0	0.70750E-01
14520.0	0.69600E-01
14540.0	0.70600E-01
14560.0	0.69650E-01
14580.0	0.68200E-01
14600.0	0.69850E-01
14620.0	0.69300E-01
14640.0	0.70000E-01
14660.0	0.69650E-01
